review_id,text,stars_rishi,price_rishi,gender_rishi
kaViRU4V0JCla_9oUuH8hQ,"All I'm looking for in a neighborhood pizza place is average food. A pizza that costs $8-10, is ready in 15 minutes and is available at any time of day.  College Pizza hits these marks, but the quality of the food is simply not very good. It's below average pizza, which is unfortunate due to it being so close to my apartment.  Too bad.",2,2,female
BjY8uAo6KKSs3QObja1hfQ,"I've had this kind of Chinese food in other places, none as bad as this one, simply tasteless, should have gone to McDonald's instead. I guess it's because I'm too hungry to make a right choice",4,2,male
hw_-cOMuhockEUuURpkebw,"Bad Lassi. They don't know how to make it.  Disturbingly inconsistent food quality.  This place could be amazing if they would just figure out the days when they're doing things right, rinse, and repeat. Bad, good, then bad again.  Bad Kashmir. Bad.",2,1,female
4eVXnMOvySpSGQitMfsb-A,"Passable Rad Nar with nicely-crunchy ""Chinese broccoli"" though actual Thai people might find the thin fried noodle option to be a little odd as this dish is ordinarily served with wide boiled rice noodle. Glass of Spanish Garnacha was oxidized and old, but was replaced with a glass from a new bottle. Elusive server. Companion's sake glass had a big chip in it.  Quelle average. Interesting menu, though, and might be worth another chance.",4,2,male
CHuxtadcyYh1yXKjHYzURQ,"The food was okay but customer service is terrible. I hate to give a bad review for a Turkish restaurant, but they left out part of our order, and when I called back they said they would refund the difference and never did. Won't go back here again.",4,2,female
YsH7y6Zk77SEddND5FOuuQ,Not great this time.  The social burger was way undercooked versus what i ordered.  the bar drink was $14.50 for a tiny shot of gin.  Tablecloth was dirty from previous guest.   You can spend that kind of money elsewhere for better.,2,2,female
jnvbP0KNd31fjjt4VScsIw,"Overall a solid play. Good chicken pot pie. The service is a little slow, but as expected since it just opened. Overall it kills super salad.",4,1,male
ZEiHfLdwISV-loHW73PtyA,"Found this place because of the cheap beer promotion they had back at the beginning of the summer and started going regularly after work for food, drinks and fun. The bartenders do a great job of getting a drink for you, even if the place is packed. The food is really good too, the nachos, coogan bbq burger, flat bread pizzas and spinach artichoke dip are all really good, and I am still venturing out for the other parts of the menu which are probably just as good. They have a really good karaoke on wednesday where some people put on a pretty good show. The karaoke dj is also pretty talented herself and usually sings a few songs. They also have stump trivia which is fun and great with a group after work. Fridays and saturdays are fun too, the place usually gets pretty packed, but still is a good time. And I've been there a few times where the opened up the additional space for a dance floor and they've had a few good dj's that was awesome at mixing up different songs.",4,1,male
9HWfJV_7RbiKiYi-0S2CUQ,"This place has friggin' awesome food. The pizza slices are enormous! Good prices too. I would definitely come here once a week at least if I was downtown more often. As an added bonus, they gave out free samples of some supremely delicious pork sandwich (haul). +1 star for free samples...always.",2,1,male
F_dbfkpq97w-qZZKxDuLfQ,This is a great lunch cart. The veggies are fresh and the chicken is usually super moist and very well seasoned. I recommend the pita pocket...,4,2,female
5sy-lkNavM4gJ0e7bf46Rg,"I was working around the corner and stopped in for a coffee.  Ordered a coffee and decided to get poppyseed muffin.  Coffee and the muffin were great.  Nice decor semi-industrial but spacious and well lit.  Lots of tables, nice layout and a great coffee atmosphere.  Seems like a nice place to meet for coffee.",4,1,male
Pm3PsfvF81dbiZJBNfPBkQ,"Ordered for take out.  Montecristo crepe was good, but the goat cheese could have been spread more consistently. It was also really thin which isn't too surprising cause it's just ham, egg, and cheese but it leaves me wanting more.   Overall, crepe was tasty but I wouldn't order it again. The avocado crostini my gf ordered on the other hand was way better and worthy.",4,1,male
f9AaYIyO6YxCPI4b7lNdCQ,"I wanted Szechuan for dinner tonight so Yelp led us to Five Spices House. Surprisingly unbusy for 7pm on a weeknight, there was only one other table occupied upstairs when we were seated.  Service was fine and attentive. All of the food pretty much came out all at once, no real appetizer time which worked out okay but may be a thing for others.  We got a bunch of stuff. Typical eyes bigger than belly, but we managed to eat nearly all of it.  Dan Dan Noodles were good. Noodles were perfect and the sauce had the right consistency, it just wasn't as spicy as I wanted.   Sizzling Beef. Excellent. Lots of beef, lots of flavor. Very nicely done.  Shrimp Lo Mein. Shrimp were perfectly deveined and shell removed. Very tasty noodles with the right amount of crisp veggies.  Crap Rangoon. Nice and hot, nicely stuffed. General Gau's Chicken. Batter was too thick and the sauce too sweet.  We enjoyed our Szechuan outing. Delicious!",2,2,female
Mu3cXVNPEOGtAKcadA1n4w,"A good place for those seeking authentic Mexican fare--and yes, it costs a bit more, but this is not your standard burrito joint. Pescado a la veracruzana was a generous portion of cod smothered in a delicious tomato-olive sauce; and the camarones al chipotle--with a cream-based sauce laced with smoky chilies--were very good. Guacamole tasted fresh and went well with a round of tart, refreshing magaritas. I've traveled to Mexico several times and this is one of Boston's better attempts at replicating some memorable recipes,",2,2,female
